rii,microsite
0.023007653,Larrea tridentata
0.016574586,Larrea tridentata
0.028480823,Larrea tridentata
0.024559591,Larrea tridentata
0.02189361,Larrea tridentata
0.028480823,Larrea tridentata
0.063353214,Larrea tridentata
0.068526619,Larrea tridentata
0.059400851,Larrea tridentata
0.126221668,Larrea tridentata
0.093664196,Larrea tridentata
0.185484384,Larrea tridentata
0.052676047,Larrea tridentata
0.001597419,Larrea tridentata
-0.024458643,Larrea tridentata
-0.028275938,Larrea tridentata
-0.01181406,Larrea tridentata
-0.198941442,Larrea tridentata
-0.109093677,Larrea tridentata
-0.042047937,Larrea tridentata
-0.076008519,Larrea tridentata
0,Larrea tridentata
0.007957122,Larrea tridentata
0.017632939,Larrea tridentata
0.023976225,Larrea tridentata
0.018654524,Larrea tridentata
0.027326402,Larrea tridentata
0.016047297,Larrea tridentata
0.017112427,Larrea tridentata
0.023496443,Larrea tridentata
0.027843506,Larrea tridentata
0.033438045,Larrea tridentata
0.099419696,Larrea tridentata
0.123792532,Larrea tridentata
0.158843203,Larrea tridentata
0.178731356,Larrea tridentata
0.068611431,Larrea tridentata
-0.01152719,Larrea tridentata
-0.034426723,Larrea tridentata
-0.04986542,Larrea tridentata
-0.023932622,Larrea tridentata
-0.214938819,Larrea tridentata
-0.148686274,Larrea tridentata
-0.216806765,Larrea tridentata
-0.166657546,Larrea tridentata
-0.105132207,Larrea tridentata
0.01832494,Larrea tridentata
0.004038195,Larrea tridentata
0.015139514,Larrea tridentata
0.013746696,Larrea tridentata
-0.007959782,Larrea tridentata
0.030040456,Larrea tridentata
0.059457775,Larrea tridentata
0.049991303,Larrea tridentata
0.047185531,Larrea tridentata
0.025032258,Larrea tridentata
0.041035621,Larrea tridentata
0.123020404,Larrea tridentata
0.156463103,Larrea tridentata
0.148287421,Larrea tridentata
0.067900942,Larrea tridentata
0,Larrea tridentata
-0.063740529,Larrea tridentata
-0.032921344,Larrea tridentata
-0.001428264,Larrea tridentata
-0.194573824,Larrea tridentata
-0.167109973,Larrea tridentata
-0.207651322,Larrea tridentata
-0.190369427,Larrea tridentata
-0.086637168,Larrea tridentata
0.003885723,Larrea tridentata
-0.006439164,Larrea tridentata
0.00688891,Larrea tridentata
0.002333836,Larrea tridentata
0.032451166,Larrea tridentata
0.018502056,Larrea tridentata
0,Larrea tridentata
0.021002327,Larrea tridentata
-0.013549369,Larrea tridentata
-0.003630588,Larrea tridentata
-0.006666434,Larrea tridentata
0.129518539,Larrea tridentata
0.133800781,Larrea tridentata
0.134952906,Larrea tridentata
0.059300184,Larrea tridentata
-0.002900596,Larrea tridentata
-0.051340232,Larrea tridentata
-0.04500478,Larrea tridentata
-0.022381673,Larrea tridentata
-0.184722162,Larrea tridentata
-0.158309739,Larrea tridentata
-0.161480331,Larrea tridentata
-0.156199026,Larrea tridentata
-0.083718816,Larrea tridentata
0.00176097,Larrea tridentata
0.010014923,Larrea tridentata
0.021437899,Larrea tridentata
-0.013402712,Larrea tridentata
0.023702886,Larrea tridentata
0.030499055,Larrea tridentata
0.029981851,Larrea tridentata
0.071042471,Larrea tridentata
0.010698198,Larrea tridentata
0.076247064,Larrea tridentata
0.108541727,Larrea tridentata
0.063719212,Larrea tridentata
0.054503298,Larrea tridentata
0.073605905,Larrea tridentata
0.002993431,Larrea tridentata
0.00576933,Larrea tridentata
-0.043154268,Larrea tridentata
-0.055062855,Larrea tridentata
-0.065467341,Larrea tridentata
-0.171067638,Larrea tridentata
-0.199625396,Larrea tridentata
-0.167684527,Larrea tridentata
-0.14618023,Larrea tridentata
-0.06998539,Larrea tridentata
0.010816955,Larrea tridentata
0.014706989,Larrea tridentata
0.023303385,Larrea tridentata
0.012415934,Larrea tridentata
0.024947729,Larrea tridentata
0.01260274,Larrea tridentata
0.021429822,Larrea tridentata
0.019445509,Larrea tridentata
0.014954299,Larrea tridentata
0,Larrea tridentata
-0.005237038,Larrea tridentata
0.105696845,Larrea tridentata
0.147895386,Larrea tridentata
0.120124252,Larrea tridentata
0.02073096,Larrea tridentata
0.017023789,Larrea tridentata
-0.037649156,Larrea tridentata
-0.023429586,Larrea tridentata
-0.033253142,Larrea tridentata
-0.178481845,Larrea tridentata
-0.137430495,Larrea tridentata
-0.140855134,Larrea tridentata
-0.149740739,Larrea tridentata
-0.006165952,Larrea tridentata
0.003288887,Larrea tridentata
0.003332836,Larrea tridentata
0.008644633,Larrea tridentata
0.016684699,Larrea tridentata
-0.009955798,Larrea tridentata
-0.016326704,Larrea tridentata
0.008537863,Larrea tridentata
0.013683556,Larrea tridentata
0.03161453,Larrea tridentata
0.005292479,Larrea tridentata
0.035208846,Larrea tridentata
0.110888028,Larrea tridentata
0.126651578,Larrea tridentata
0.110497009,Larrea tridentata
0.05037497,Larrea tridentata
-0.019654471,Larrea tridentata
