rep ,region,site,microsite,lat ,long,hobo_id,elitech_id,shrub_species
3,Mojave,Tecopa_open,square ,35.855,-116.179,,2101001,
3,Mojave,Tecopa_open,triangle ,35.855,-116.179,,2101001,
4,Mojave,Tecopa_open,square ,35.855,-116.179,,2101001,
4,Mojave,Tecopa_open,triangle ,35.855,-116.179,,2101001,
1,Mojave,Tecopa_shrub,shrub,35.85315,-116.18367,20564174,2101001655,Larrea tridentata
1,Mojave,Tecopa_shrub,square,35.85317,-116.18368,20597565,2101001639,
1,Mojave,Tecopa_shrub,triangle ,35.85316,-116.1837,20519202,2101001656,
2,Mojave,Tecopa_shrub,shrub,35.85309,-116.18381,10641606,2101001648,Larrea tridentata
2,Mojave,Tecopa_shrub,square,35.85309,-116.18375,20881733,2101001659,
2,Mojave,Tecopa_shrub,triangle ,35.85306,-116.18376,10641568,2101001646,
3,Mojave,Tecopa_shrub,shrub,35.85302,-116.18387,20500302,2101001633,Larrea tridentata
3,Mojave,Tecopa_shrub,triangle ,35.85301,-116.18385,20564171,2101001653,
3,Mojave,Tecopa_shrub,square,35.85302,-116.18385,20597551,2101001634,
4,Mojave,Tecopa_shrub,shrub,35.853,-116.18391,20564176,2101001654,Larrea tridentata
4,Mojave,Tecopa_shrub,triangle ,35.85298,-116.18393,10641605,2101001657,
4,Mojave,Tecopa_shrub,square,35.85296,-116.18396,,2101001,
5,Mojave,Tecopa_shrub,shrub,35.85299,-116.18402,20597554,2101001652,Larrea tridentata
5,Mojave,Tecopa_shrub,triangle ,35.85296,-116.18401,20597558,2101001667,
5,Mojave,Tecopa_shrub,square,35.85298,-116.18398,10641594,2101001631,
6,Mojave,Tecopa_shrub,shrub,35.85306,-116.18394,20597551,210100170,Larrea tridentata
6,Mojave,Tecopa_shrub,triangle ,35.85308,-116.18394,20535242,2101001644,
6,Mojave,Tecopa_shrub,square,35.8507,-116.18392,20535241,2101001643,
7,Mojave,Tecopa_shrub,shrub,35.85314,-116.18385,20597561,2101001629,Larrea tridentata
7,Mojave,Tecopa_shrub,triangle ,35.85314,-116.18389,20619206,2101001662,
7,Mojave,Tecopa_shrub,square,35.85315,-116.18389,10641603,2101001636,
8,Mojave,Tecopa_shrub,shrub,35.85,-116.18,,2101001,Larrea tridentata
8,Mojave,Tecopa_shrub,triangle ,35.85,-116.18,,2101001,
8,Mojave,Tecopa_shrub,square,35.85,-116.18,,2101001,
