project_id,site,microsite,animal_hit,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,scientific_name,year
2006492,Carrizo_soda_open,square,1,Shirley Chen,4457a0c6-cb68-44c0-9c27-ad08abe57755,Mammalia,Carnivora,Canidae,Vulpes,macrotis,Kit Fox,,2021-01-02 12:59,1,Vulpes macrotis,2023
2006492,Carrizo_soda_open,Ephedra californica,1,Shirley Chen,bb2be16f-b283-455b-9068-aedea2a3d22d,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's Kangaroo Rat,,2021-01-02 22:15,1,Dipodomys heermanni,2023
2006492,Carrizo_soda_open,square,1,Shirley Chen,4457a0c6-cb68-44c0-9c27-ad08abe57755,Mammalia,Carnivora,Canidae,Vulpes,macrotis,Kit Fox,,2021-01-02 22:13,1,Vulpes macrotis,2023
2006492,Carrizo_soda_open,triangle,1,Shirley Chen,4457a0c6-cb68-44c0-9c27-ad08abe57755,Mammalia,Carnivora,Canidae,Vulpes,macrotis,Kit Fox,,2021-01-02 22:20,1,Vulpes macrotis,2023
2006492,Carrizo_soda_open,Ephedra californica,1,Shirley Chen,bb2be16f-b283-455b-9068-aedea2a3d22d,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's Kangaroo Rat,,2021-01-03 12:45,1,Dipodomys heermanni,2023
2006492,Carrizo_soda_open,triangle,1,Shirley Chen,4457a0c6-cb68-44c0-9c27-ad08abe57755,Mammalia,Carnivora,Canidae,Vulpes,macrotis,Kit Fox,,2021-01-03 15:04,1,Vulpes macrotis,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,bb2be16f-b283-455b-9068-aedea2a3d22d,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's Kangaroo Rat,,2021-01-03 15:18,1,Dipodomys heermanni,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,404bce49-ba9d-41b0-a6e2-bac7849da257,Mammalia,Rodentia,Heteromyidae,Dipodomys,ingens,Giant Kangaroo Rat,,2021-01-03 15:12,1,Dipodomys ingens,2023
2006492,Carrizo_soda_open,triangle,1,Shirley Chen,4457a0c6-cb68-44c0-9c27-ad08abe57755,Mammalia,Carnivora,Canidae,Vulpes,macrotis,Kit Fox,,2021-01-03 15:32,1,Vulpes macrotis,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,bb2be16f-b283-455b-9068-aedea2a3d22d,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's Kangaroo Rat,,2021-01-03 16:09,1,Dipodomys heermanni,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,bb2be16f-b283-455b-9068-aedea2a3d22d,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's Kangaroo Rat,,2021-01-03 16:11,1,Dipodomys heermanni,2023
2006492,Carrizo_soda_open,triangle,1,Shirley Chen,404bce49-ba9d-41b0-a6e2-bac7849da257,Mammalia,Rodentia,Heteromyidae,Dipodomys,ingens,Giant Kangaroo Rat,,2021-01-03 16:23,1,Dipodomys ingens,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,404bce49-ba9d-41b0-a6e2-bac7849da257,Mammalia,Rodentia,Heteromyidae,Dipodomys,ingens,Giant Kangaroo Rat,,2021-01-03 16:28,1,Dipodomys ingens,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,bb2be16f-b283-455b-9068-aedea2a3d22d,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's Kangaroo Rat,,2021-01-03 16:30,1,Dipodomys heermanni,2023
2006492,Carrizo_soda_open,triangle,1,Shirley Chen,4457a0c6-cb68-44c0-9c27-ad08abe57755,Mammalia,Carnivora,Canidae,Vulpes,macrotis,Kit Fox,,2021-01-03 18:15,1,Vulpes macrotis,2023
2006492,Carrizo_soda_open,triangle,1,Shirley Chen,404bce49-ba9d-41b0-a6e2-bac7849da257,Mammalia,Rodentia,Heteromyidae,Dipodomys,ingens,Giant Kangaroo Rat,,2021-01-03 20:59,1,Dipodomys ingens,2023
2006492,Carrizo_4,square,1,Shirley Chen,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-04 1:33,1,Ammospermophilus nelsoni,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-04 1:35,1,Ammospermophilus nelsoni,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-04 1:44,1,Ammospermophilus nelsoni,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-04 1:52,1,Ammospermophilus nelsoni,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-04 3:07,1,Ammospermophilus nelsoni,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-04 3:17,1,Ammospermophilus nelsoni,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-04 5:11,1,Ammospermophilus nelsoni,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,bb2be16f-b283-455b-9068-aedea2a3d22d,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's Kangaroo Rat,,2021-01-04 10:18,1,Dipodomys heermanni,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,bb2be16f-b283-455b-9068-aedea2a3d22d,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's Kangaroo Rat,,2021-01-04 10:20,1,Dipodomys heermanni,2023
2006492,Carrizo_4,square,1,Shirley Chen,404bce49-ba9d-41b0-a6e2-bac7849da257,Mammalia,Rodentia,Heteromyidae,Dipodomys,ingens,Giant Kangaroo Rat,,2021-01-04 12:12,1,Dipodomys ingens,2023
2006492,Carrizo_4,Ephedra californica,1,Shirley Chen,bb2be16f-b283-455b-9068-aedea2a3d22d,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's Kangaroo Rat,,2021-01-04 12:29,1,Dipodomys heermanni,2023
