project_id,site,microsite,animal_hit,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,scientific_name,year
2006190,Carrizo_soda_open,square,1,Nargol Ghazian,85f0d28f-ca8b-4100-8b16-46d4766201e3,Mammalia,Lagomorpha,Leporidae,Sylvilagus,audubonii,Desert Cottontail,,2021-01-06 19:21,1,Sylvilagus audubonii,2022
2006190,Carrizo_4,square,1,Nargol Ghazian,85f0d28f-ca8b-4100-8b16-46d4766201e3,Mammalia,Lagomorpha,Leporidae,Sylvilagus,audubonii,Desert Cottontail,,2021-01-06 19:21,1,Sylvilagus audubonii,2022
2006190,Carrizo_4,triangle,1,Nargol Ghazian,bb2be16f-b283-455b-9068-aedea2a3d22d,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's Kangaroo Rat,,2021-01-06 19:22,1,Dipodomys heermanni,2022
2006190,Carrizo_4,Ephedra californica,1,Nargol Ghazian,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-06 19:26,1,Lepus californicus,2022
2006190,Carrizo_4,triangle,1,Nargol Ghazian,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-06 19:26,1,Lepus californicus,2022
2006190,Carrizo_4,triangle,1,Nargol Ghazian,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-06 19:27,1,Lepus californicus,2022
2006190,Carrizo_4,triangle,1,Nargol Ghazian,bb2be16f-b283-455b-9068-aedea2a3d22d,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's Kangaroo Rat,,2021-01-06 19:28,1,Dipodomys heermanni,2022
2006190,Carrizo_soda_open,square,1,Nargol Ghazian,bb2be16f-b283-455b-9068-aedea2a3d22d,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's Kangaroo Rat,,2021-01-06 19:31,1,Dipodomys heermanni,2022
2006190,Carrizo_4,square,1,Nargol Ghazian,bb2be16f-b283-455b-9068-aedea2a3d22d,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's Kangaroo Rat,,2021-01-06 19:31,1,Dipodomys heermanni,2022
2006190,Carrizo_4,square,1,Nargol Ghazian,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-06 23:02,1,Ammospermophilus nelsoni,2022
2006190,Carrizo_4,square,1,Nargol Ghazian,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-06 23:54,1,Ammospermophilus nelsoni,2022
2006190,Carrizo_4,square,1,Nargol Ghazian,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-07 0:01,1,Ammospermophilus nelsoni,2022
2006190,Carrizo_4,triangle,1,Nargol Ghazian,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-07 0:22,1,Ammospermophilus nelsoni,2022
2006190,Carrizo_4,square,1,Nargol Ghazian,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-07 0:24,1,Ammospermophilus nelsoni,2022
2006190,Carrizo_4,square,1,Nargol Ghazian,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-07 0:54,1,Ammospermophilus nelsoni,2022
2006190,Carrizo_4,Ephedra californica,1,Nargol Ghazian,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-07 0:55,1,Ammospermophilus nelsoni,2022
2006190,Carrizo_4,Ephedra californica,1,Nargol Ghazian,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-07 0:58,1,Ammospermophilus nelsoni,2022
