"ID","title","location","lat","long","days","captures","richness","animal.name","scientific.name","year","n_cams","bait","month.of.study","temperature","notes","mean.temp.sampling.period","max.temp.sampling.period","mean.annual.temp","n_sites","sample.design","X22","system","ecosystem","capture_rate","var_caprate","richness_rate","var_richnessrate"
35.1,"High Carbon Stock forests provide co-benefits for tropical biodiversity","Kalabakan Reserve, Sabah Malaysian Borneo",4.7,116.95,4669,3237,28,NA,NA,NA,25,"no",NA,NA,NA,NA,NA,26.9,1,"distance",NA,"forest logged/unlogged, oil palm plantation","tropical",0.693296209038338,0.000148489228750983,0.00599700149925037,1.28442953507183e-06
37.1,"Using camera trap data to assess the impact of bushmeat hunting on forest mammals in Tanzania","Uzungwa Forest Reserve, Tanzania",-7.013,36.011388,850,714,15,NA,NA,"2013-2014",60,"no","December-January",NA,NA,NA,NA,NA,1,"grid",NA,"evergreen forest, deciduous forest","deciduous",0.84,0.000988235294117647,0.0176470588235294,2.07612456747405e-05
37.2,"Using camera trap data to assess the impact of bushmeat hunting on forest mammals in Tanzania","Mwanihana Forest, Tanzania",-7.013,36.011388,917,984,23,NA,NA,"2013",42,"no","July-November",NA,NA,NA,NA,NA,3,"grid",NA,"evergreen forest, deciduous forest","deciduous",1.07306434023991,0.00117019012021801,0.0250817884405671,2.73520048424941e-05
38.1,"Predictors of mammal species richness in KwaZulu-Natal, South Africa","Kwazulu-Natal, South Africa",-28.53,30.89,882,2971,38,NA,NA,"2012-2013",10,"no","January-April",NA,NA,NA,NA,NA,4,"distance",NA,"variety","mixed",3.36848072562358,0.00381913914469794,0.0430839002267574,4.8847959440768e-05
39.1,"Using Infra-Red Camera Trapping Technology to Monitor Mammals along Karakorum Highway in Khunjerab National Park, Pakistan","Khuenjab National Park",36.5,75.62,690,99,5,NA,"Vulpes vulpes, Lepus capensis, Capra ibex sibirica, Uncia uncial, Mustelidae species","2013",NA,"no","June-November",NA,NA,NA,NA,NA,322,"tracks",NA,"mountain","deciduous",0.143478260869565,0.000207939508506616,0.0072463768115942,1.0501995379122e-05
40.1,"Multi-species occupancy modelling of mammal and ground bird communities in rangeland in the Karoo: A case for dryland systems globally","western cape, Karoo, South Aftica",-32.81,22.23,4035,4185,42,NA,NA,"2012-2014",NA,"no","September-May",NA,NA,NA,NA,NA,3,"grid",NA,"dryland","desert",1.03717472118959,0.000257044540567433,0.0104089219330855,2.57965847164449e-06
42.1,"Modelling fine-scale habitat associations of medium-to-large forest mammals in the Udzungwa Mountains of Tanzania using camera trapping","Udzungwa Mountains, Tanzania",-7.76,36.85,1818,12911,26,NA,"Cricetomys gambianus Waterhouse, Bdeogale crassicauda, Cephalophus harveyi , Nesotragus moschatus, Cercocebus sanjei, Rhynchocyon udzungwensis, Paraxerus vexillarius, Dendrohyrax validus, Cephalophus spadix, Genetta servalina Pucheran, Potamochoerus larvatus, Cercopithecus mitis Wolf, Petrodromus tetradactylus, Mellivora capensis, Loxodonta africana,Nandinia binotata, Syncerus caffer, Atilax paludinosus, Colobus angolensis, Panthera pardus, Procolobus gordonorum, Mungos mungo, Tragelaphus scriptus, Papio cynocephalus, Rhynchocyon cirnei, Thryonomys swinderianus","2013",8,"no","July-November",NA,NA,NA,NA,NA,10,"distance",NA,"mountain","grassland",7.1017601760176,0.00390635873268295,0.0143014301430143,7.86657323598146e-06
44.1,"Multiple Browsers Structure Tree Recruitment in Logged Temperate Forests","Karoo, South Africa",-32.82,-22.24,8812,1024,38,NA,NA,"2016-2017",NA,"no","September-May",NA,NA,NA,NA,NA,27,"distance",NA,"grassland","grassland",0.116205174761689,1.31871510169869e-05,0.00431230140717204,4.89366932270998e-07
45.1,"Camera trap placement and the potential for bias due to trails and other features","Smithsonian Conservation  Biology Institute, Virginia, USA",38.87,-78.16,2742,19,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,12,"grid",NA,"grassland, deciduous forest","grassland",0.00692924872355945,2.52707830910264e-06,NA,NA
46.1,"Camera trapping surveys of forest mammal communities in the Eastern Arc Mountains reveal generalized habitat and human disturbance responses","Tita Hills, Kenya",-3.41,38.33,11500,6444,43,NA,NA,NA,NA,"no","June-October, November-January",NA,NA,NA,NA,12,23,"trail",NA,"forest, mountain","deciduous",0.560347826086957,4.87258979206049e-05,0.00373913043478261,3.25141776937618e-07
