ID,title,location,lat,long,days,captures,richness,animal name,scientific name,year,number cams,bait ,month of study,temperature ,notes,mean temp sampling period,max temp sampling period,mean annual temp,n_sites,sample design,,system,ecosystem
21.1,Use of Atlantic Forest protected areas by free-ranging dogs: estimating abundance and persistence of use,"Atlantic Forest, Brazil",-16.5,-39.25,,1249,24,,,2008-2012,32,no,,,,,,19,20,distance,,tropical forest,tropical
22.1,Native habitat and protected area size matters: Preserving mammalian assemblages in the Maputaland Conservation Unit of South Africa,Eastern Shore,-28.198,32.51,1176,,28,,,2014,49,no,July,,,,,6,1,grid,,plantation,tropical
22.2,Native habitat and protected area size matters: Preserving mammalian assemblages in the Maputaland Conservation Unit of South Africa,Western Shores,-28.19,32.39,1488,,32,,,2014,62,no,August,,,,,6,1,grid,,plantation,tropical
22.3,Native habitat and protected area size matters: Preserving mammalian assemblages in the Maputaland Conservation Unit of South Africa,False Bay,-27.97,32.36,168,,20,,,2013,7,no,September,,,,,6,1,grid,,plantation,tropical
22.4,Native habitat and protected area size matters: Preserving mammalian assemblages in the Maputaland Conservation Unit of South Africa,Tembe South ,-27.03,32.43,966,,31,,,2014,21,no,November,,,,,6,1,grid,,plantation,tropical
22.5,Native habitat and protected area size matters: Preserving mammalian assemblages in the Maputaland Conservation Unit of South Africa,Tem North east/west,-26.89,32.52,1919,,32,,,2015,22,no,February,,,,,6,1,grid,,plantation,tropical
22.6,Native habitat and protected area size matters: Preserving mammalian assemblages in the Maputaland Conservation Unit of South Africa,Ndumo Game Reserve ,-26.88,32.24,660,,26,,,2013,22,no,December,,,,,6,1,grid,,plantation,tropical
22.7,Native habitat and protected area size matters: Preserving mammalian assemblages in the Maputaland Conservation Unit of South Africa,Ndumo Game Reserve ,-26.88,32.24,660,,26,,,2013,22,no,December,,,,,6,1,grid,,plantation,tropical
23.1,Quantifying mammal biodiversity co-benefits in certified tropical forests,Derakmot Forrest Reserve,5.35,117.47,,2940,37,,,,67,no,,,,,,32,1,distance,,tropical forest,tropical
24.1,Grain-dependent responses of mammalian diversity to land use and the implications for conservation set-aside,Sabah Malaysian Borneo ,5.9788,116.0753,26251,12788,13,,,20112-2014,543,no,May-March,,,,,26.9,3,"grid, haphazard",,"tropical forest, plantatation",tropical
25.1,Landscape features lead to shifts in communities of medium- to large-bodied mammals in subtropical Atlantic Forest,"santa catarina state, souther Brazil ",-27,-50,,11998,2165,,"Puma concolor, Leopardus pardalis, Leopardus wiedii, Leopardus guttulus , Puma yagouaroundi,  Tapirus terrestris, Hydrochoerus hydrochaeris , Mazama americana ,  Mazama gouazoubira, Mazama nana , Cuniculus paca , Dasyprocta azarae , Lepus europaeus , Tayassu pecari , Pecari tajacu , Eira barbara , Nasua nasua , Procyon cancrivorus , Lycalopex gymnocercus , Cerdocyon thous , Cabassous tatouay , Dasypus novemcinctus , Didelphis albiventris , Didelphis aurita, Galictis cuja , Philander frenatus",2005-2011,26,no,,,,,,15,9,trail,,subtropical forest,tropical
26.1,Do coyotes Canis latrans influence occupancy of prey in suburban forest fragments?,"Longview Lake, Lee's summit, Missouri",38.91,-94.47,308,,4,,"Odocoileus virginianus , Squirrel Sciurus niger , Sciurus carolinensis , Sciurus carolinensis , Sylvilagus floridanus , Meleagris gallopavo ",2009-2010,,no,October-May,,,,,21,22,distance,,urban,deciduous
26.2,Do coyotes Canis latrans influence occupancy of prey in suburban forest fragments?,"Warrensburg, Missouri",38.76,-93.74,,,,,,,,no ,,,,,,,,distance,,urban,deciduous
27.1,"Comparison of two mammalian surveys made with camera traps in southeastern Brazil, focusing the abundance of wild mammals and domestic dogs","serra do Japi, Sao Paulo, Brazil",-23.3,-46.28,,,13,,,"2006-2007, 2009-2010",7,no,July-February ,,,,,18,7,distance,,tropical forest,tropical
28.1,The impact of habitat fragmentation on the ecology of xenarthrans (Mammalia) in the Brazilian Cerrado,"cerrado domain, Brazil ",-14.00596,-47.68461,29618,,7,,"Priodontes maximus , Euphractus sexcinctus , Dasypus novemcinctus , Cabassous unicinctus , Tolypeutes tricinctus , Tamandua tetradactyla, Myrmecophaga tridactyla",,,no,,,,,,,10,distance,,tropical savanna,grassland
29.1,Flood-mediated use of habitat by large and midsized mammals in the Brazilian Pantanal,"Rio Platano, Honduras",15.74,-84.65,2040,116,18,,,2008,48,no,May-August,,,,,26.6,19,distance,,tropical forest,tropical
30.1,Estimating mammalian species richness and occupancy in tropical forest canopies with arboreal camera traps,Maijuna-Kichwa Conservation area,-3.1,-72.9,3147,703,18,,"Alouatta seniculus, Lagothrix lagothrica, Callicebus lucifer, Callicebus discolor, Pithecia hirsuta, Aotus vociferans, Cebus yuracus, Saimiri macrodon, Leontocebus nigricollis, Cebuella pygmaea, Tamandua tetradactyla, Choloepus didactylus, Sciurus igniventris, Sciurus igniventris, Coendou prehensilis, Eira barbara, Potos flavus, Bassaricyon alleni, Caluromys lanatus",2013-2014,42,no,November-December,,,,,,1,grid,,tropical forest,tropical
31.1,Logging and indigenous hunting impacts on persistence of large Neotropical animals,"Iwokrama Forest, Guyana",4.5,-59,808,270,17,,,,25,no,June-August,,,,,2,1,diameter,,tropical forest,tropical
31.2,Logging and indigenous hunting impacts on persistence of large Neotropical animals,,4.5,-59,805,180,15,,,,27,no ,,,,,,,1,diameter,,tropical forest,tropical
32.1,Oil palm monoculture induces drastic erosion of an Amazonian forest mammal fauna,"parivateland, Brazil",-16.43,-57.73,640,,11,,"Blastocerus dichotomus, Nazana americana, Pecari tajacu, Tayassu pecari, Leopardus pardalis, Panthera onca, Eira barbara, Procyon cancrivorus, Dasyprocta azarae, Hydrochoeris hydrochaeris,Myrmecophaga tridactyla",2009-2010,8,no,October-Semptember,,,,,,2,,,"marsh, riperian forest",deciduous
33.1,"A Direct Comparison of Camera-Trapping and Sign Transects for Monitoring Wildlife in the Wanglang National Nature Reserve, China","Wanlang National Centre Reserve, China",32.93,104.05,3793,312,21,,,2004-2005,12,no,Septmeber-October,,,,,23.2,2,"trail, distance",,"mixed forest, meadow",deciduous
34.1,"A survey of mid and large bodied mammals in Nucleo Caraguatatuba, Serra do Mar State Park, Brazil","Serra do Mar State Park, Brazil",-22.41,-42.24,223.2,,12,,,2011,65,no,June-July,,,,,,130,line,,Atlantic forest,tropical
35.1,High Carbon Stock forests provide co-benefits for tropical biodiversity,"Kalabakan Reserve, Sabah Malaysian Borneo ",4.7,116.95,4669,3237,28,,,,25,no,,,,,,26.9,1,distance,,"forest logged/unlogged, oil palm plantation",tropical
37.1,Using camera trap data to assess the impact of bushmeat hunting on forest mammals in Tanzania,"Uzungwa Forest Reserve, Tanzania",-7.013,36.011388,850,714,15,,,2013-2014,60,no ,December-January,,,,,,1,grid,,"evergreen forest, deciduous forest",deciduous
37.2,Using camera trap data to assess the impact of bushmeat hunting on forest mammals in Tanzania,"Mwanihana Forest, Tanzania",-7.013,36.011388,917,984,23,,,2013,42,no ,July-November,,,,,,3,grid,,"evergreen forest, deciduous forest",deciduous
38.1,"Predictors of mammal species richness in KwaZulu-Natal, South Africa","Kwazulu-Natal, South Africa",-28.53,30.89,882,2971,38,,,2012-2013,10,no,January-April ,,,,,,4,distance,,variety,mixed
39.1,"Using Infra-Red Camera Trapping Technology to Monitor Mammals along Karakorum Highway in Khunjerab National Park, Pakistan",Khuenjab National Park ,36.5,75.62,690,99,5,,"Vulpes vulpes, Lepus capensis, Capra ibex sibirica, Uncia uncial, Mustelidae species ",2013,,no,June-November,,,,,,322,tracks,,mountain,deciduous
40.1,Multi-species occupancy modelling of mammal and ground bird communities in rangeland in the Karoo: A case for dryland systems globally,"western cape, Karoo, South Aftica",-32.81,22.23,4035,4185,42,,,2012-2014,5 to 8,no,September-May,,,,,,3,grid,,dryland,desert
41.1,Human-modified landscape acts as refuge for mammals in Atlantic Forest,,-22,-47,1068,,16,,,2012,60,no,March-December,,,,,,2,line,,forest,tropical
42.1,Modelling fine-scale habitat associations of medium-to-large forest mammals in the Udzungwa Mountains of Tanzania using camera trapping,"Udzungwa Mountains, Tanzania ",-7.76,36.85,1818,12911,26,,"Cricetomys gambianus Waterhouse, Bdeogale crassicauda, Cephalophus harveyi , Nesotragus moschatus, Cercocebus sanjei, Rhynchocyon udzungwensis, Paraxerus vexillarius, Dendrohyrax validus, Cephalophus spadix, Genetta servalina Pucheran, Potamochoerus larvatus, Cercopithecus mitis Wolf, Petrodromus tetradactylus, Mellivora capensis, Loxodonta africana,Nandinia binotata, Syncerus caffer, Atilax paludinosus, Colobus angolensis, Panthera pardus, Procolobus gordonorum, Mungos mungo, Tragelaphus scriptus, Papio cynocephalus, Rhynchocyon cirnei, Thryonomys swinderianus",2013,8,no,July-November,,,,,,10,distance,,mountain,grassland
43.1,"Mammal richness and diversity in Serra do Facao region, Southeastern Goias state, central Brazil","Serra do Facão region, Brazil",-17,-47.5,31496,,20,,,2013,196,yes,,,,,,23.5,25,height,,forest,tropical
44.1,Multiple Browsers Structure Tree Recruitment in Logged Temperate Forests,"Karoo, South Africa",-32.82,-22.24,8812,1024,38,,,2016-2017,,no,September-May,,,,,,27,distance,,grassland,grassland
45.1,Camera trap placement and the potential for bias due to trails and other features,"Smithsonian Conservation  Biology Institute, Virginia, USA",38.87,-78.16,2742,19,,,,,,no,,,,,,,12,grid,,"grassland, deciduous forest",grassland
46.1,Camera trapping surveys of forest mammal communities in the Eastern Arc Mountains reveal generalized habitat and human disturbance responses,"Tita Hills, Kenya",-3.41,38.33,11500,6444,43,,,,,no,"June-October, November-January",,,,,12,23,trail,,"forest, mountain",deciduous
46.2,Camera trapping surveys of forest mammal communities in the Eastern Arc Mountains reveal generalized habitat and human disturbance responses,"Uszungwa, Tanzani",-7.25,-36.25,,,,,,,18,no ,,,,,,,52,trail,,"forest, mountain",deciduous
47.1,"Do Bird Friendly Coffee Criteria Benefit Mammals? Assessment of Mammal Diversity in Chiapas, Mexico","Chipas, Mexico ",15.14,-92.27,230,172,10,,,2014,24,yes,Janury-April,,,,,,15,grid,,mountain ,deciduous
48.1,Buffer zone use by mammals in a Cerrado protected area,"Luiz Antonio Experimental Station, Sao Paulo, Brazil",-21.05,-47.83,3150,,31,,,2013,13,no,,,,,,,13,grid,,"woodland, semi-deciduous forest",deciduous
49.1,Fruit gardens enhance mammal diversity and biomass in a Southeast Asian rainforest,"Krau Wildlife Reserve, Pahang, Malaysia",3.55,102.5,1024,1678,21,,"Muntiacus muntjak, Rusa unicolor, Rusa unicolor, Tragulus spp, Aonyx cinerea, Helarctos malayanus, Viverra megaspila, Paguma larvata, Arctogalidia trivirgata, Chalcophaps indica, Argusianus argus, Lophura ignita, Polyplectron malacense, Tapirus indicus, Macaca fascicularis, Macaca nemestrina, Atherurus macrourus, Hystrix brachyura, Varanus salvator",,20,yes,,,,,,,1,trail,,dipterocarp forest,deciduous
50.1,Impact of alien trees on mammal distributions along an ephemeral river in the Namib Desert,"Swakop River, Namibia",-22.66,14.53,1269,,23,,"Raphicerus campestris, Papio ursinus, Oryx gazelle, Tragelaphus strepsiceros , Canis mesomelas, Sylvicapra grimmia , Sylvicapra grimmia , Felis silvestris lybica, Oreotragus oreotragus, Antidorcus marsupialis, Hystrix africaeaustralis, Equus zebra, Mellivora capensis, Ictonyx striatus, Caracal caracal, Civettictis civetta , Cynictis penicillata, Procavia capensis, Orycteropus afer, Panthera pardus, Phacochoerus africanus , Xerus inauris",2010,40,no,July-November,,,,,,1,haphazard,,dryland,desert
51.1,"Estimating Species Richness and Modelling Habitat Preferences of Tropical Forest Mammals from Camera Trap Data (vol 9, e103300, 2014)",,-7.77,36.7,1818,10647,26,,,2009,15,no,July-November,,,19.9,,,3,grid,,"mountain, most forest",deciduous
52.1,"A camera trap assessment of the forest mammal community within the transitional savannah-forest mosaic of the Bateke Plateau National Park, Gabon","Bateke Plateau National Park, Gabon",-2.18,14.02,5902,,31,,,2014-2015,184,no,June-May,,,,,,3,grid,,forest,deciduous
53.1,"Assessing the impacts of oil exploration and restoration on mammals in Murchison Falls Conservation Area, Uganda","Murchison Falls Conservation Area, Uaganda",2.1458,31.81,1089,1756,27,,"Phacochoerus africanus , Kobis kob, Alcelaphus buselaphus, Ourebia ourebi, Syncerus caffer, Kobus ellipsiprymnus, Loxodonta africana, Giraffa camelopardis rothschildi, Hippopotamus amphibious, Papio anubis, Crocuta crocuta, Hystrix cristata, Tragelaphus scriptus, Erythrocebus patas, Orycteropus afer, Panthera pardus, Sylvicapra grimmia , Poelagus marjorita, Genetta maculata, Potamochoerus larvatus, Potamochoerus larvatus, Xerus erythropus, Panthera leo, Redunca redunca, Cricetomys gambianus, Herpestes ichneumon, Canis mesomelas",2014,38,no,May-August,,,,,25.5,6,distance,,forest,deciduous
54.1,Tree monocultures in a biodiversity hotspot: Impact of pine plantations on mammal and bird assemblages in the Atlantic Forest,"Misiones Province, Argentina",-25.931,-54.258,,4735,57,,,2013-2014,162,no,May-December,,,,,,9,distance,,subtropical forest forest,tropical
55.1,"First structured camera-trap surveys in Karen State, Myanmar, reveal high diversity of globally threatened mammals","Karen State, Myanmar",16.95,97.95,9511,4191,31,,,2014-2015,30,no,December-July,,,,,,2,haphazard,,tropical forest,tropical
56.1,The importance of grass cover for mammalian diversity and habitat associations in a bush encroached savanna,"Mlawula Nature Reserve and Mbuluzi Game Reserve, Swaziland",-26.2,32.004,,,21,,"Equus quagga, Connochaetes taurinus, Kobus ellipsiprymnus, Phacochoerus africanus, Tragelaphus angasii , Aepyceros melampus, Giraffa camelopardalis, Tragelaphus strepsiceros, Tragelaphus scriptus, Sylvicapra grimmia, Potamochoerus larvatus, Crocuta crocuta, Canis adustus, Leptailurus serval, Genetta maculata, Atilax paludinosu, Galerella sanguinea, Papio ursinus, Chlorocebus pygerythrus, Orycteropus afer, Hystrix africaeaustralis","2012, 2013",50,no,"December-February, June-August",,,,,,1,grid,,"savanna, riperian forest",grassland
57.1,Diversity of terrestrial mammal seed dispersers along a lowland Amazon forest regrowth gradient,"Northeastern Amazon, Brazil",0.92,-51.59,827,232,6,,,2016,39,no,June-July,,,,,,2,distance,,tropical forest,tropical
58.1,"Artillery for Conservation: The Case of the Mammals Protected by the Formosa Military Training Area, Brazil","Formosa MTA, Brazil",-16,-47.23,426250,1584,29,,,2014-2015,8,no ,August-May,,,,,,8,grid,,cerrado,grassland
59.1,"Free-ranging livestock influence species richness, occupancy, and daily behaviour of wild mammalian species in Baluran National Park, Indonesia","Baluran National Park, Indonesia ",-7.83,114.39,1562,23021,11,,"B. javanicus, B. bubalis, P. pardus, R. timorensis, S. scrofa, M. muntjak, C. alpinus, T. auratus, H. javanica, P. bengalensis and P. hermaphroditus",2015-2016,25,no,August-January,,,,,,5,distance,,"savanna, lowland forest",grassland
60.1,"Diversity and activity patterns of sympatric animals among four types of forest habitat in Guanyinshan Nature Reserve in the Qinling Mountains, China","GNR, Qunling Mountains, China ",33.67,108,,1693,24,,"Naemorhedus goral, Prionailurus bengalensis, Budorcas taxicolor, Elaphodus cephalophus, Chrysolophus pictus, Sus scrofa, Capricornis milneedwardsii, Tragopan temminckii, Muntiacus reevesi, Hystrix hodgsoni, Pucrasia macrolopha, Martes flavigula, Meles meles, Arctonyx collaris,   Callosciurus erythraeus, Rhinopithecus roxellana, Microtus arvalis, Mustela sibirica, Ursus thibetanus,  Ailuropoda melanoleuca, Paguma larvata, Nucifraga caryocatactes, Canis familiaris, Moschus berezovskii
",2009-2012,,no,August-July,,,,,,,cover type,,mountain ,deciduous
61.1,Mammal inventories in Seasonal Neotropical Forests: traditional approaches still compensate drawbacks of modern technologies,"Serra de Japi Biological Reserve, Brazil",-23.28,-47,270,,7,,,2009-2010,20,no,"July-August, January-February",,,,,16,1,trail,,semi-deciduous forest,deciduous
62.1,Response of medium- and large-sized terrestrial fauna to corridor restoration along the middle Sacramento River,"Sacramento River, California, U.S.A",38.58,-121.49,2641,1960,9,,"Odocoileus hemionus columbianus, Meleagris gallopavo, Sus scrofa, Procyon lotor, Canis latrans, Felis rufus, Mephitis mephitis, Puma concolor, F. catus",2010-2012,20,no ,"December-March, May-July",,,,,,1,height,,"wetland, riperian ",aquatic
63.1,USING CAMERA-TRAP TECHNOLOGY TO IMPROVE UNDERGRADUATE EDUCATION AND CITIZEN-SCIENCE CONTRIBUTIONS IN WILDLIFE RESEARCH,"Canyon State Natural Area, San Antonio, Texas ",29.55,-98.76,,1714,18,,,2013,,no,September-December,,,,,,2,grid,,deciduous forest,deciduous
64.1,"Medium and large-sized mammals of the Reserva Ecologica de Guapiacu, Cachoeiras de Macacu, RJ",The Reserva Ecologica de Guapiacu,-22.37,-42.76,1589,302,12,,,2012,120,no ,January-October ,,,22.4,,,4,trail,,subtropical forest,tropical
