rep,date,season,day,survey,microhabitat,family,species,migratory_class,guild,behavior_simple,month.day.hour
114,2019-08-18,summer,18,34,cactus,Troglodytidae,Cactus Wren,resident,omnivore,Active movement,8.18.6
115,2019-05-02,spring,2,4,open,Columbidae,Mourning Dove,resident,granivore,Inactivity,5.2.6
117,2019-05-02,spring,2,4,cactus,Mimidae,Northern Mockingbird,resident,omnivore,Territorial/mating,5.2.6
118,2019-05-02,spring,2,4,open,Troglodytidae,Rock Wren,resident,insectivore,Territorial/mating,5.2.6
119,2019-05-02,spring,2,4,open,Columbidae,Mourning Dove,resident,granivore,Inactivity,5.2.6
119,2019-08-18,summer,18,34,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.18.6
11,2019-05-01,spring,1,1,shrub,Unknown,Unknown,unknown,Unknown,Active movement,5.1.10
11,2019-08-14,summer,14,27,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.14.17
120,2019-08-18,summer,18,34,cactus,Mimidae,Crissal Thrasher,resident,omnivore,Territorial/mating,8.18.6
121,2019-08-18,summer,18,35,shrub,Troglodytidae,Bewick's Wren,resident,insectivore,Active movement,8.18.18
122,2019-05-02,spring,2,4,shrub,Fringillidae,House finch,resident,frugivore,Inactivity,5.2.6
124,2019-05-02,spring,2,4,cactus,Ptiliogonatidae,Phainopepla,resident,frugivore,Feeding,5.2.6
125,2019-05-02,spring,2,4,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,Active movement,5.2.6
125,2019-08-18,summer,18,35,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.18.18
126,2019-05-02,spring,2,4,shrub,Passerellidae,Green.tailed Towhee,migrant,omnivore,Inactivity,5.2.6
126,2019-08-18,summer,18,35,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.18.18
127,2019-05-02,spring,2,4,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.6
127,2019-08-18,summer,18,35,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.18.18
128,2019-05-02,spring,2,4,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.6
128,2019-08-18,summer,18,35,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.18.18
129,2019-05-02,spring,2,4,cactus,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.6
129,2019-08-18,summer,18,35,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.18.18
12,2019-05-01,spring,1,1,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,Inactivity,5.1.10
12,2019-08-14,summer,14,27,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.14.17
130,2019-05-02,spring,2,4,cactus,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,Territorial/mating,5.2.6
130,2019-08-18,summer,18,35,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.18.18
134,2019-05-02,spring,2,4,open,Mimidae,Crissal Thrasher,resident,omnivore,Inactivity,5.2.6
135,2019-05-02,spring,2,4,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.2.6
136,2019-08-19,summer,19,36,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.19.6
137,2019-05-02,spring,2,4,open,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Active movement,5.2.6
138,2019-08-19,summer,19,36,shrub,Remezidae,Verdin,resident,insectivore,Territorial/mating,8.19.6
139,2019-05-02,spring,2,4,open,Columbidae,Mourning Dove,resident,granivore,Territorial/mating,5.2.6
139,2019-08-19,summer,19,36,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.19.6
13,2019-05-01,spring,1,1,cactus,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Feeding,5.1.10
13,2019-08-14,summer,14,27,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.14.17
140,2019-08-19,summer,19,36,shrub,Remezidae,Verdin,resident,insectivore,Active movement,8.19.6
141,2019-08-19,summer,19,36,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.19.6
142,2019-08-19,summer,19,36,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.19.6
143,2019-05-02,spring,2,4,shrub,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Feeding,5.2.6
143,2019-08-19,summer,19,36,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.19.6
144,2019-05-02,spring,2,4,cactus,Mimidae,Northern Mockingbird,resident,omnivore,Territorial/mating,5.2.6
144,2019-08-19,summer,19,36,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.19.6
145,2019-05-02,spring,2,4,open,Passerellidae,Green.tailed Towhee,migrant,omnivore,Inactivity,5.2.6
145,2019-08-19,summer,19,36,open,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.19.6
146,2019-08-19,summer,19,36,open,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.19.6
147,2019-05-02,spring,2,4,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.2.6
148,2019-05-02,spring,2,4,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.2.6
149,2019-05-02,spring,2,4,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.2.6
14,2019-05-01,spring,1,1,shrub,Mimidae,Northern Mockingbird,resident,frugivore,Inactivity,5.1.10
14,2019-08-14,summer,14,27,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.14.17
150,2019-05-02,spring,2,4,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.2.6
152,2019-05-02,spring,2,4,open,Columbidae,Mourning Dove,resident,granivore,Territorial/mating,5.2.6
153,2019-05-02,spring,2,4,shrub,Tyrannidae,Hammond's Flycatcher,migrant,insectivore,Inactivity,5.2.6
156,2019-05-02,spring,2,4,shrub,Trochilidae,Black.chinned hummingbird,migrant,nectarivore,Territorial/mating,5.2.6
158,2019-05-02,spring,2,4,shrub,Mimidae,Northern Mockingbird,resident,omnivore,Active movement,5.2.6
159,2019-05-02,spring,2,4,shrub,Mimidae,Northern Mockingbird,resident,omnivore,Territorial/mating,5.2.6
15,2019-05-01,spring,1,1,open,Unknown,Unknown,unknown,Unknown,Inactivity,5.1.10
15,2019-08-15,summer,15,28,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Active movement,8.15.9
160,2019-05-02,spring,2,4,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.2.6
160,2019-08-19,summer,19,36,shrub,Troglodytidae,Bewick's Wren,resident,insectivore,Active movement,8.19.6
161,2019-05-02,spring,2,4,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.2.6
162,2019-05-02,spring,2,4,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.6
162,2019-08-19,summer,19,36,shrub,Laniidae,Loggerhead Shrike,resident,carnivore,Active movement,8.19.6
163,2019-05-02,spring,2,4,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.6
163,2019-08-19,summer,19,36,shrub,Troglodytidae,Cactus Wren,resident,omnivore,Active movement,8.19.6
164,2019-05-02,spring,2,4,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.6
165,2019-05-02,spring,2,4,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.6
165,2019-08-19,summer,19,36,shrub,Mimidae,Crissal Thrasher,resident,omnivore,Inactivity,8.19.6
166,2019-05-02,spring,2,4,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.6
166,2019-08-19,summer,19,36,shrub,Fringillidae,House Finch,resident,frugivore,Inactivity,8.19.6
167,2019-05-02,spring,2,4,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.6
167,2019-08-19,summer,19,36,shrub,Icteridae,Scott's Oriole,summer resident,omnivore,Feeding,8.19.6
168,2019-05-02,spring,2,4,shrub,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Active movement,5.2.6
168,2019-08-19,summer,19,36,shrub,Icteridae,Scott's Oriole,summer resident,omnivore,Feeding,8.19.6
169,2019-05-02,spring,2,5,shrub,Tyrannidae,Say's Phoebe,resident,insectivore,Active movement,5.2.8
169,2019-08-19,summer,19,36,shrub,Icteridae,Scott's Oriole,summer resident,omnivore,Feeding,8.19.6
16,2019-05-01,spring,1,1,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,Active movement,5.1.10
16,2019-08-15,summer,15,28,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.15.9
170,2019-05-02,spring,2,5,shrub,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Active movement,5.2.8
171,2019-05-02,spring,2,5,cactus,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,Territorial/mating,5.2.8
172,2019-05-02,spring,2,5,cactus,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,Territorial/mating,5.2.8
172,2019-08-19,summer,19,37,shrub,Remezidae,Verdin,resident,insectivore,Territorial/mating,8.19.18
174,2019-08-19,summer,19,37,open,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.19.18
177,2019-05-02,spring,2,5,cactus,Tyrannidae,Say's Phoebe,resident,insectivore,Territorial/mating,5.2.8
178,2019-05-02,spring,2,5,cactus,Tyrannidae,Say's Phoebe,resident,insectivore,Inactivity,5.2.8
178,2019-08-19,summer,19,37,cactus,Troglodytidae,Cactus Wren,resident,omnivore,Territorial/mating,8.19.18
179,2019-05-02,spring,2,5,shrub,Tyrannidae,Say's Phoebe,resident,insectivore,Territorial/mating,5.2.8
179,2019-08-19,summer,19,37,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.19.18
17,2019-05-01,spring,1,1,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.1.10
17,2019-08-15,summer,15,28,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.15.9
180,2019-05-02,spring,2,5,shrub,Tyrannidae,Say's Phoebe,resident,insectivore,Inactivity,5.2.8
180,2019-08-19,summer,19,37,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.19.18
181,2019-05-02,spring,2,5,open,Troglodytidae,Rock Wren,resident,insectivore,Inactivity,5.2.8
181,2019-08-19,summer,19,37,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.19.18
182,2019-05-02,spring,2,5,open,Troglodytidae,Rock Wren,resident,insectivore,Active movement,5.2.8
182,2019-08-19,summer,19,37,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.19.18
183,2019-05-02,spring,2,5,open,Mimidae,Northern Mockingbird,resident,omnivore,Active movement,5.2.8
183,2019-08-19,summer,19,37,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.19.18
184,2019-05-02,spring,2,5,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,Territorial/mating,5.2.8
184,2019-08-19,summer,19,37,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.19.18
186,2019-05-02,spring,2,5,open,Columbidae,Mourning Dove,resident,granivore,Territorial/mating,5.2.8
189,2019-08-20,summer,20,38,cactus,Remezidae,Verdin,resident,insectivore,Active movement,8.20.7
18,2019-05-01,spring,1,1,open,Columbidae,Mourning Dove,resident,granivore,Territorial/mating,5.1.10
18,2019-08-15,summer,15,28,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.15.9
190,2019-05-02,spring,2,5,open,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,Territorial/mating,5.2.8
192,2019-05-02,spring,2,5,shrub,Trochilidae,Anna's Hummingbird,summer resident,nectarivore,Active movement,5.2.8
192,2019-08-20,summer,20,38,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.20.7
193,2019-05-02,spring,2,5,shrub,Mimidae,Northern Mockingbird,resident,omnivore,Territorial/mating,5.2.8
193,2019-08-20,summer,20,38,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.20.7
194,2019-08-20,summer,20,38,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.20.7
195,2019-05-02,spring,2,5,shrub,Trochilidae,Anna's Hummingbird,summer resident,nectarivore,Inactivity,5.2.8
195,2019-08-20,summer,20,38,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.20.7
196,2019-05-02,spring,2,5,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.2.8
196,2019-08-20,summer,20,38,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Feeding,8.20.7
197,2019-08-20,summer,20,38,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Feeding,8.20.7
198,2019-05-02,spring,2,5,open,Troglodytidae,Rock Wren,resident,insectivore,Active movement,5.2.8
199,2019-08-20,summer,20,38,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.20.7
19,2019-08-15,summer,15,28,open,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,Active movement,8.15.9
1,2019-08-14,summer,14,27,cactus,unknown,Unknown Passerine,unknown,unknown,Territorial/mating,8.14.17
200,2019-05-02,spring,2,5,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.2.8
200,2019-08-20,summer,20,38,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.20.7
201,2019-05-02,spring,2,5,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.2.8
201,2019-08-20,summer,20,38,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.20.7
203,2019-05-02,spring,2,5,cactus,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,Feeding,5.2.8
205,2019-05-02,spring,2,6,open,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.2.10
206,2019-08-20,summer,20,39,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,8.20.17
20,2019-08-15,summer,15,28,open,Laniidae,Loggerhead Shrike,resident,carnivore,Active movement,8.15.9
210,2019-05-02,spring,2,6,open,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.2.10
211,2019-05-02,spring,2,6,cactus,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Active movement,5.2.10
211,2019-08-21,summer,21,40,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.21.6
212,2019-05-02,spring,2,6,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,Territorial/mating,5.2.10
213,2019-05-02,spring,2,6,cactus,Mimidae,Northern Mockingbird,resident,omnivore,Active movement,5.2.10
214,2019-05-02,spring,2,6,cactus,Mimidae,Northern Mockingbird,resident,omnivore,Territorial/mating,5.2.10
214,2019-08-21,summer,21,40,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.21.6
215,2019-05-02,spring,2,6,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,Territorial/mating,5.2.10
216,2019-05-02,spring,2,6,shrub,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,Inactivity,5.2.10
216,2019-08-21,summer,21,40,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Active movement,8.21.6
217,2019-08-21,summer,21,40,shrub,Picidae,Nuttall's/Ladderback Woodpecker Hybrid,resident,frugivore,Active movement,8.21.6
219,2019-05-02,spring,2,6,shrub,Passerellidae,Green.tailed Towhee,migrant,omnivore,Inactivity,5.2.10
21,2019-05-01,spring,1,1,open,Columbidae,Mourning Dove,resident,granivore,Active movement,5.1.10
21,2019-08-15,summer,15,28,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.15.9
220,2019-05-02,spring,2,6,shrub,Passerellidae,Green.tailed Towhee,migrant,omnivore,Inactivity,5.2.10
221,2019-08-21,summer,21,40,cactus,Remezidae,Verdin,resident,insectivore,Territorial/mating,8.21.6
222,2019-05-02,spring,2,6,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.10
222,2019-08-21,summer,21,40,cactus,Remezidae,Verdin,resident,insectivore,Territorial/mating,8.21.6
223,2019-05-02,spring,2,6,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.10
223,2019-08-21,summer,21,40,cactus,Remezidae,Verdin,resident,insectivore,Territorial/mating,8.21.6
224,2019-05-02,spring,2,6,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.10
224,2019-08-21,summer,21,40,open,Icteridae,Scott's Oriole,summer resident,omnivore,Active movement,8.21.6
225,2019-05-02,spring,2,6,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.10
225,2019-08-21,summer,21,41,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.21.17
226,2019-05-02,spring,2,6,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.10
226,2019-08-21,summer,21,41,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Active movement,8.21.17
227,2019-08-21,summer,21,41,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Active movement,8.21.17
230,2019-08-21,summer,21,41,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.21.17
231,2019-05-02,spring,2,6,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.2.10
231,2019-08-21,summer,21,41,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.21.17
232,2019-05-02,spring,2,6,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.2.10
232,2019-08-21,summer,21,41,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.21.17
233,2019-05-02,spring,2,6,cactus,Columbidae,Mourning Dove,resident,granivore,Territorial/mating,5.2.10
233,2019-08-21,summer,21,41,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.21.17
234,2019-08-21,summer,21,41,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.21.17
235,2019-05-02,spring,2,6,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.2.10
236,2019-05-02,spring,2,6,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.2.10
237,2019-05-02,spring,2,7,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.14
237,2019-08-22,summer,22,42,open,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.22.6
238,2019-05-02,spring,2,7,open,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Territorial/mating,5.2.14
238,2019-08-22,summer,22,42,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.22.6
239,2019-08-22,summer,22,42,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Feeding,8.22.6
23,2019-05-01,spring,1,1,cactus,Mimidae,Northern Mockingbird,resident,omnivore,Territorial/mating,5.1.10
241,2019-05-02,spring,2,7,open,Ptiliogonatidae,Phainopepla,resident,frugivore,Territorial/mating,5.2.14
242,2019-05-02,spring,2,7,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,Territorial/mating,5.2.14
242,2019-08-22,summer,22,42,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.22.6
243,2019-08-22,summer,22,42,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.22.6
244,2019-05-02,spring,2,7,open,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.2.14
244,2019-08-22,summer,22,42,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.22.6
245,2019-08-22,summer,22,42,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.22.6
246,2019-05-02,spring,2,7,open,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.2.14
246,2019-08-22,summer,22,42,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.22.6
247,2019-05-02,spring,2,7,shrub,Mimidae,Northern Mockingbird,resident,omnivore,Territorial/mating,5.2.14
247,2019-08-22,summer,22,42,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.22.6
248,2019-05-02,spring,2,7,open,Troglodytidae,Rock Wren,resident,insectivore,Inactivity,5.2.14
248,2019-08-22,summer,22,42,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.22.6
249,2019-08-22,summer,22,42,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.22.6
24,2019-05-01,spring,1,1,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.1.10
24,2019-08-15,summer,15,28,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.15.9
252,2019-05-02,spring,2,7,cactus,Unknown,Unknown,unknown,Unknown,Active movement,5.2.14
253,2019-05-02,spring,2,7,open,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Active movement,5.2.14
253,2019-08-22,summer,22,42,cactus,Troglodytidae,Cactus Wren,resident,omnivore,Active movement,8.22.6
256,2019-05-02,spring,2,7,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.2.14
257,2019-08-22,summer,22,42,cactus,Remezidae,Verdin,resident,insectivore,Inactivity,8.22.6
25,2019-05-01,spring,1,1,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.1.10
25,2019-08-15,summer,15,28,cactus,Troglodytidae,Cactus Wren,resident,omnivore,Territorial/mating,8.15.9
260,2019-08-22,summer,22,43,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Active movement,8.22.18
262,2019-08-22,summer,22,43,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.22.18
264,2019-05-03,spring,3,8,open,Fringillidae,House Finch,resident,frugivore,Active movement,5.3.6
265,2019-05-03,spring,3,8,open,Fringillidae,House Finch,resident,frugivore,Active movement,5.3.6
266,2019-05-03,spring,3,8,open,Apodidae,White.throated Swift,resident,insectivore,Active movement,5.3.6
266,2019-08-23,summer,23,44,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.23.7
267,2019-05-03,spring,3,8,open,Apodidae,White.throated Swift,resident,insectivore,Active movement,5.3.6
268,2019-08-23,summer,23,44,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.23.7
269,2019-05-03,spring,3,8,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.3.6
26,2019-05-01,spring,1,1,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.1.10
26,2019-08-15,summer,15,28,cactus,Troglodytidae,Cactus Wren,resident,omnivore,Territorial/mating,8.15.9
270,2019-05-03,spring,3,8,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.3.6
271,2019-05-03,spring,3,8,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.3.6
271,2019-08-23,summer,23,44,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.23.7
272,2019-08-23,summer,23,44,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.23.7
275,2019-08-23,summer,23,44,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,Territorial/mating,8.23.7
276,2019-08-23,summer,23,44,open,Cuculidae,Greater Roadrunner,resident,insectivore,Active movement,8.23.7
277,2019-08-23,summer,23,44,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.23.7
278,2019-08-23,summer,23,44,shrub,Remezidae,Verdin,resident,insectivore,Territorial/mating,8.23.7
27,2019-05-01,spring,1,1,open,Unknown,Unknown,unknown,Unknown,Inactivity,5.1.10
27,2019-08-15,summer,15,28,cactus,Troglodytidae,Cactus Wren,resident,omnivore,Territorial/mating,8.15.9
281,2019-08-23,summer,23,44,cactus,Picidae,Nuttall's Woodpecker,resident,frugivore,Feeding,8.23.7
282,2019-08-23,summer,23,44,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.23.7
283,2019-05-03,spring,3,8,shrub,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,Inactivity,5.3.6
283,2019-08-23,summer,23,44,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.23.7
284,2019-08-23,summer,23,44,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.23.7
286,2019-08-23,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.23.18
287,2019-08-23,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.23.18
288,2019-08-23,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.23.18
289,2019-08-23,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.23.18
28,2019-08-15,summer,15,28,shrub,Troglodytidae,Cactus Wren,resident,omnivore,Territorial/mating,8.15.9
291,2019-05-03,spring,3,8,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.3.6
291,2019-08-23,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.23.18
292,2019-05-03,spring,3,8,shrub,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,Territorial/mating,5.3.6
292,2019-08-23,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.23.18
293,2019-05-03,spring,3,8,shrub,Parulidae,MacGillivray's Warbler,migrant,insectivore,Active movement,5.3.6
293,2019-08-23,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.23.18
294,2019-05-03,spring,3,8,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.3.6
295,2019-05-03,spring,3,8,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.3.6
296,2019-05-03,spring,3,8,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.3.6
296,2019-08-23,summer,23,45,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.23.18
297,2019-05-03,spring,3,8,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.3.6
298,2019-05-03,spring,3,8,shrub,Trochilidae,Anna's Hummingbird,summer resident,nectarivore,Feeding,5.3.6
298,2019-08-24,summer,24,46,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.24.7
299,2019-05-03,spring,3,8,shrub,Parulidae,Wilson's Warbler,migrant,insectivore,Active movement,5.3.6
29,2019-05-01,spring,1,1,cactus,Mimidae,Northern Mockingbird,resident,omnivore,Active movement,5.1.10
2,2019-08-14,summer,14,27,open,Troglodytidae,Cactus Wren,resident,omnivore,Active movement,8.14.17
