rep,date,season,day,survey,microhabitat,family,species,migratory_class,guild,behavior_simple,month.day.hour
743,2019-05-08,spring,8,21,open,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,Feeding,5.8.9
746,2019-05-08,spring,8,21,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.8.9
747,2019-05-08,spring,8,21,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.8.9
749,2019-05-08,spring,8,22,open,Icteridae,Hooded Oriole,summer resident,omnivore,Active movement,5.8.11
74,2019-05-01,spring,1,2,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,Territorial/mating,5.1.14
74,2019-08-17,summer,17,32,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.17.7
751,2019-05-08,spring,8,22,shrub,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Active movement,5.8.11
752,2019-05-08,spring,8,22,shrub,Cardinalidae,Black.headed Grosbeak,summer resident,omnivore,Territorial/mating,5.8.11
753,2019-05-08,spring,8,22,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.8.11
754,2019-05-08,spring,8,22,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.8.11
755,2019-05-08,spring,8,22,shrub,Remezidae,Verdin,resident,insectivore,Cleaning,5.8.11
756,2019-05-08,spring,8,22,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Active movement,5.8.11
757,2019-05-08,spring,8,22,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Active movement,5.8.11
758,2019-05-08,spring,8,22,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Active movement,5.8.11
759,2019-05-08,spring,8,22,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Active movement,5.8.11
75,2019-05-01,spring,1,2,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,5.1.14
75,2019-08-17,summer,17,32,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.17.7
761,2019-05-08,spring,8,22,shrub,Trochilidae,Anna's Hummingbird,summer resident,nectarivore,Feeding,5.8.11
762,2019-05-08,spring,8,22,cactus,Mimidae,Northern Mockingbird,resident,omnivore,Territorial/mating,5.8.11
763,2019-05-08,spring,8,22,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Cleaning,5.8.11
764,2019-05-08,spring,8,22,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.8.11
765,2019-05-08,spring,8,22,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.8.11
766,2019-05-08,spring,8,22,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.8.11
767,2019-05-08,spring,8,22,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.8.11
768,2019-05-08,spring,8,22,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.8.11
769,2019-05-08,spring,8,22,open,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,Active movement,5.8.11
76,2019-05-01,spring,1,2,open,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,5.1.14
76,2019-08-17,summer,17,32,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.17.7
770,2019-05-08,spring,8,22,open,Odontiphoridae,Gambel's Quail,resident,herbivore,Active movement,5.8.11
772,2019-05-08,spring,8,22,shrub,Picidae,Nuttall's/Ladderback Woodpecker Hybrid,resident,frugivore,Territorial/mating,5.8.11
773,2019-05-08,spring,8,22,open,Troglodytidae,Rock Wren,resident,insectivore,Feeding,5.8.11
775.2,2019-05-09,spring,9,23,open,Troglodytidae,Rock Wren,resident,insectivore,Territorial/mating,5.9.12
775,2019-05-09,spring,9,23,cactus,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Active movement,5.9.12
776,2019-05-09,spring,9,23,cactus,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Feeding,5.9.12
77,2019-05-01,spring,1,2,open,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,5.1.14
784,2019-05-09,spring,9,23,open,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,Territorial/mating,5.9.12
78,2019-05-01,spring,1,3,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.1.16
78,2019-08-17,summer,17,32,shrub,Mimidae,Crissal Thrasher,resident,omnivore,Inactivity,8.17.7
791,2019-05-09,spring,9,23,shrub,Tyrannidae,Say's Phoebe,resident,insectivore,Inactivity,5.9.12
792,2019-05-09,spring,9,23,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.9.12
795,2019-05-09,spring,9,24,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.9.14
796,2019-05-09,spring,9,24,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.9.14
79,2019-05-01,spring,1,3,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.1.16
79,2019-08-17,summer,17,32,open,Mimidae,Crissal Thrasher,resident,omnivore,Inactivity,8.17.7
7,2019-05-01,spring,1,1,cactus,Fringillidae,House Finch,resident,frugivore,Inactivity,5.1.10
806,2019-05-09,spring,9,24,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.9.14
807,2019-05-09,spring,9,24,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.9.14
808,2019-05-09,spring,9,24,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.9.14
809,2019-05-09,spring,9,24,open,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Active movement,5.9.14
80,2019-05-01,spring,1,3,open,Troglodytidae,Rock Wren,resident,insectivore,Inactivity,5.1.16
80,2019-08-17,summer,17,32,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.17.7
810,2019-05-09,spring,9,24,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Cleaning,5.9.14
811,2019-05-09,spring,9,24,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Cleaning,5.9.14
816,2019-05-09,spring,9,24,shrub,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,Inactivity,5.9.14
819,2019-05-09,spring,9,24,open,Apodidae,White.throated Swift,resident,insectivore,Territorial/mating,5.9.14
81,2019-05-01,spring,1,3,shrub,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,Inactivity,5.1.16
